country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
France,"A lean wine, well-made to be sure, but lacking in concentration. The surface has attractive, fresh red-currant flavors, laced with acidity. Drink over the next 2-3 years.",,84,,Bordeaux,Médoc,,Roger Voss,@vossroger,Château La Clare 2008  Médoc,Bordeaux-style Red Blend,Château La Clare
South Africa,"There's a delicate hint of toasted spice that lends depth to the yellow apple and melon fruit core of this wine. The well-balanced palate offers ripe fruit flavors and medium acidity, while hints of orange peel and toast linger softly on the close. Drink now.",The Den,88,13.0,Swartland,,,Lauren Buzzeo,@laurbuzz,Painted Wolf 2015 The Den Chenin Blanc (Swartland),Chenin Blanc,Painted Wolf
US,"North Carolina-based Biltmore turns to Dry Creek for Cabernet, with good results. The wine is dry, full-bodied and tannic, with briary, brambly flavors of sweet, wild blackberries, cherries, chamomile tea, cola and anise. It's a sophisticated wine to drink now, at a fair price.",Reserve,89,25.0,California,Dry Creek Valley,Sonoma,,,Biltmore Estate 2010 Reserve Cabernet Sauvignon (Dry Creek Valley),Cabernet Sauvignon,Biltmore Estate
Austria,"The perfumed spiciness from Traminer is balanced by notes of tropical fruit, peppered pears and a fine, attractive acidity. The wine is full bodied, direct and delicious. Screwcap.",Gamlitzberg Reserve,89,,Steiermark,,,Roger Voss,@vossroger,Strauss 2010 Gamlitzberg Reserve Traminer (Steiermark),Traminer,Strauss
Chile,"Aromas of tire rubber and asphalt are low on fruit. This turns for the better on the palate, which feels creamy despite showing rubbery tannins. Peppery flavors of cherry, plum and raspberry become salty on a mostly smooth, solid finish.",Herú,88,45.0,Casablanca Valley,,,Michael Schachner,@wineschach,Ventisquero 2012 Herú Pinot Noir (Casablanca Valley),Pinot Noir,Ventisquero
Israel,"Mushy peach, mealy pear and soft melon aromas flood the bouquet, and are accented by a hint of honeycomb. A touch of citrus flavor unfolds on the round, flabby palate, followed by a short finish. Drink up.",Reserve,82,-14.0,Upper Galilee,,,Lauren Buzzeo,@laurbuzz,Binyamina 2011 Reserve Sauvignon Blanc (Upper Galilee),Sauvignon Blanc,Binyamina
France,"This bright, lemony wine is lightly mineral as well as fruity. A crisp apple character gains even more tightness from a shot of lime juice. The wine is ready to drink, light and refreshing with a buttery aftertaste.",Mont-Avril,86,22.0,Burgundy,Côte Chalonnaise,,Roger Voss,@vossroger,Domaine Michel Goubard 2014 Mont-Avril  (Côte Chalonnaise),Chardonnay,Domaine Michel Goubard
US,"The nose of this bottling is all about bright citrus and yellow flower, with upfront aromas suggesting crushed white rocks, grapefruit pith and sweet grass. It's supercrisp, grippy and sharp in acidity on the palate, showing white flower and clover honey flavors as it opens.",Dry,92,-22.0,California,Edna Valley,Central Coast,Matt Kettmann,@mattkettmann,Claiborne & Churchill 2016 Dry Riesling (Edna Valley),Riesling,Claiborne & Churchill
France,"Attractively spicy as well as fruity, this is a ginger and apricot-flavored wine. Great acidity balances the warm fruitiness. Full in the mouth while also crisp, the wine is ready to drink.",Les Cras,91,-21.0,Burgundy,Saint-Véran,,Roger Voss,@vossroger,Domaine des Valanges 2014 Les Cras  (Saint-Véran),Chardonnay,Domaine des Valanges
US,"Wild strawberry and a soft layering of fresh earth form the core of this blend, based mostly on Cabernet Sauvignon, with a healthy dose of Merlot and then smaller supporting handfuls of Cabernet Franc, Malbec and Petit Verdot. Blackberries come to fore as the wine develops, along with a swathe of bittersweet chocolate.",Symmetry,86,55.0,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Rodney Strong 2012 Symmetry Meritage (Alexander Valley),Meritage,Rodney Strong
US,"Rare in Oregon (or anywhere this side of the Atlantic), this Graciano pushes a mix of pomegranate, cranberry and raspberry fruit front and center. It dips in the midpalate, then re-gathers with a mix of tea, coffee grounds and dark chocolate wrapping up the finish. Put this ringer into your next tasting of Spanish wines and you'll stump everyone.",Barrel Select,90,30.0,Oregon,Umpqua Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Abacela 2014 Barrel Select Graciano (Umpqua Valley),Graciano,Abacela
US,"Two-plus years in the cellar have softened and mellowed this wine, taking off the edges and giving it a nice roundness. It's quite impressive, filled with classically varietal cherry, cola and sweet persimmon fruit, while that famous Russian River acidity gives it a boost of tartness. Drink this delicious, rich wine now–2016.",Le Roi,93,44.0,California,Sonoma Coast,Sonoma,,,De Loach 2009 Le Roi Pinot Noir (Sonoma Coast),Pinot Noir,De Loach
US,"Made in stainless-steel tanks and a mix of French and American oak barrels, this new, low-priced, low-in-alcohol white is straightforward in its rich layers of butterscotch and tropical vanilla, with a roundness that many will find attractive.",,85,12.0,California,Sonoma County,Sonoma,Virginie Boone,@vboone,We Are Sonoma NV Chardonnay (Sonoma County),Chardonnay,We Are Sonoma
Italy,"This hearty blend boasts a dark, inky color, with bright aromas of black fruit, cola, dried rosemary, black olive and spice. The finish is thick, concentrated and long lasting.",Turriga,90,80.0,Sicily & Sardinia,Isola dei Nuraghi,,,,Argiolas 2005 Turriga Red (Isola dei Nuraghi),Red Blend,Argiolas
Italy,"Wisteria, orchard fruit, aromatic herbs and citrus zest aromas lead the nose on this vibrant sparkler. The linear, focused palate offers pear, lime and apple alongside bracing acidity and an invigorating perlage. It boasts a crisp, quenching close.",Col Credas Rive di Farra di Soligo,90,22.0,Veneto,Valdobbiadene Prosecco Superiore,,Kerin O’Keefe,@kerinokeefe,Adami 2014 Col Credas Rive di Farra di Soligo  (Valdobbiadene Prosecco Superiore),Glera,Adami
Italy,"Enticing scents of acacia flower, chopped herb and yellow pear waft out of the glass. The juicy, delicious palate offers ripe apple, succulent white peach and citrus alongside fresh acidity. Almond and a light flinty note back up the lingering finish.",,90,16.0,Tuscany,Vernaccia di San Gimignano,,Kerin O’Keefe,@kerinokeefe,La Lastra 2015  Vernaccia di San Gimignano,Vernaccia,La Lastra
US,"Gooseneck is based in Rhode Island but sources wines from around the world. This Pinot was produced at River's Edge, in the Elkton Oregon AVA. It sends out aromas of caramel and graham cracker, and enters the palate with a soft, silky mouthfeel and plum fruit. Though the vintage is recent, it drinks like a more mature wine, with granular tannins and flavors of coffee grounds running through the finish.",,87,20.0,Oregon,Oregon,Oregon Other,Paul Gregutt,@paulgwine ,Gooseneck 2014 Pinot Noir (Oregon),Pinot Noir,Gooseneck
France,"This progressive domaine in Tavel reaches into neighboring Lirac for this wine, which is a high 70% Cinsault (the balance is Grenache). It's fresh and citrusy despite having ample weight, ending on a zesty note.",La Fermade,86,17.0,Rhône Valley,Lirac,,Joe Czerwinski,@JoeCz,Domaine Maby 2014 La Fermade Rosé (Lirac),Rosé,Domaine Maby
US,"Art gallery openings, backyard barbecues and other occasions when you want a nice, dry, affordable red are suited to this boxed wine, the equivalent of four regular bottles. It has pleasant blackberry, currant and cherry jam flavors.",,84,18.0,California,California,California Other,,,Bota Box 2005 Shiraz (California),Shiraz,Bota Box
Italy,"A blend of Sangiovese, Merlot, Syrah and other grapes, this features aromas of bright berry, spice and violet. The vibrant, easy-drinking palate offers black cherry, red currant and black pepper alongside supple tannins and fresh acidity.",,87,17.0,Tuscany,Morellino di Scansano,,Kerin O’Keefe,@kerinokeefe,Morisfarms 2013  Morellino di Scansano,Red Blend,Morisfarms
US,"Smoked pork, roasted fennel, dried sage, oregano and plum fruit combine for an elegant and inviting nose on this blend of 84% Syrah, 12% Mourvèdre and 4% Grenache. Savory flavors steadily emerge on the palate, with blackberry compote, roasted beef, pepper, leather, campfire smoke and vanilla elements.",Diosa,92,60.0,California,Adelaida District,Central Coast,Matt Kettmann,@mattkettmann,Summerwood 2013 Diosa Red (Adelaida District),Rhône-style Red Blend,Summerwood
Portugal,"The color is now deep amber, the result of long wood aging. The wine has retained its sweetness as well as its freshness, the acidity shooting through. A wine almost at its limit of aging, with immense concentration. It is for sipping and appreciating slowly.",40-Year-Old White,93,,Port,,,Roger Voss,@vossroger,Burmester NV 40-Year-Old White  (Port),Port,Burmester
France,"Firmly tannic wine, with balancing ripe fruit well under the structured layers. The weight of the wine comes from the rich and generous black plum fruit and acidity. A wine for long-term aging.",Clos de la Bousse d'Or,93,146.0,Burgundy,Volnay,,Roger Voss,@vossroger,Domaine de la Pousse d'Or 2009 Clos de la Bousse d'Or  (Volnay),Pinot Noir,Domaine de la Pousse d'Or
France,"Saint Odile is patron saint of Alsace, with this walled vineyard in Obernai named after her. This complex wine is moving in the direction of sweetness although it still has a nervy, almost mineral character. Textured and young, it needs to develop. Drink from 2016.",Le Clos Sainte Odile,90,39.0,Alsace,Alsace,,Roger Voss,@vossroger,Pierre Sparr 2013 Le Clos Sainte Odile Gewurztraminer (Alsace),Gewürztraminer,Pierre Sparr
US,"Medium in body, this has pretty lemon-blossom and white peach flavors that are boosted by fresh acids, and that linger on the open-textured finish.",,86,25.0,Virginia,Virginia,,,,Tarara 2012 Chardonnay (Virginia),Chardonnay,Tarara
US,"This is a Bordeaux-inspired blend based on Cabernet Sauvignon. It's frankly delicious, with tiers of blackberry and cherry pie, milk chocolate and sweet, buttery, toasted oak flavors. Doesn't have the structure for aging, so drink up with a great steak.",Trésor,90,58.0,California,Sonoma County,Sonoma,,,Ferrari-Carano 2008 Trésor Red (Sonoma County),Bordeaux-style Red Blend,Ferrari-Carano
US,"This is two-thirds Cabernet Sauvignon and one-third Merlot, all sourced from the estate's DuBrul vineyard. It's drinking quite well, though clearly heading into secondary fruit flavors that reflect its ongoing maturation. Cherries, plums and cassis fruits mingle, along with silky, polished tannins. Though it can be cellared indefinitely, it may be at its most delicious drinking peak currently.",DuBrul Vineyard Côte Bonneville,94,120.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Côte Bonneville 2006 DuBrul Vineyard Côte Bonneville Red (Yakima Valley),Bordeaux-style Red Blend,Côte Bonneville
Australia,"Nearly a Best Buy, this Riesling offers early drinkability relative to many of its Clare cousins. Mixed citrus and crushed-stone aromas mark the nose, while the medium-bodied palate finishes long, with what seems to be a touch of sweetness. Drink now–2010.",Destinations,89,15.0,South Australia,Clare Valley,,Joe Czerwinski,@JoeCz,Long Flat 2006 Destinations Riesling (Clare Valley),Riesling,Long Flat
US,"This combines ripe fruit flavors on the verge of being sweet with smoky, spicy oak accents and full body for a smooth and nicely complex taste experience. Aromas resemble black plums, the flavors are like black cherry, cinnamon and clove, and the finish lingers. The Grenache gets help from 18% Syrah.",del Maggio,89,24.0,California,Fair Play,Sierra Foothills,Jim Gordon,@gordone_cellars,Baiocchi Wines 2012 del Maggio Grenache-Syrah (Fair Play),Grenache-Syrah,Baiocchi Wines
Spain,"Though not as rich as Viña Izadi's 1997 Expresión, this wine still has a lot to like: aromas of toasted bagel, dried apple and orange peel that are followed by flavors of cranberry, raspberry, clove and fennel",Seleccion,89,45.0,Northern Spain,Rioja,,,,Izadi 1997 Seleccion  (Rioja),Tempranillo,Izadi
France,"Smooth, ripe wine, laced with acidity and green melon flavors, this is a purely fruity Chardonnay, without wood. It is young and fresh but has enough weight to give a dense, full finish, with some yellow fruit flavors. Screwcap.",,86,-12.0,Southwest France,Vin de Pays des Côtes de Gascogne,,Roger Voss,@vossroger,Domaine du Tariquet 2007 Chardonnay (Vin de Pays des Côtes de Gascogne),Chardonnay,Domaine du Tariquet
Spain,"This Tempranillo is rubbery and leathery smelling, with roasted berry overtones. The palate has a round mouthfeel, with lightly burnt and bitter flavors riding atop chunky plum notes. This feels healthy, with blueberry and herbal notes on the finish.",,86,9.0,Northern Spain,Vino de la Tierra de Castilla y León,,Michael Schachner,@wineschach,Peñascal 2009 Tempranillo (Vino de la Tierra de Castilla y León),Tempranillo,Peñascal
France,"Because it is crafted from old vines from a single parcel, this wine has been released a year later than usual for Muscadet. The result is a wine that has lost its puppy acidity while gaining ripe fruit and a soft texture. The wine was aged for 18 months on lees, which also contributed to its richness. Drink this delicious wine now.",Les Quatre Chanteaux Vieilles Vignes Sur Lie,92,15.0,Loire Valley,Muscadet Sèvre et Maine,,Roger Voss,@vossroger,Domaine des Tilleuls 2013 Les Quatre Chanteaux Vieilles Vignes Sur Lie  (Muscadet Sèvre et Maine),Melon,Domaine des Tilleuls
US,"A classic, boldly full-bodied offering of the variety from vineyards in Sonoma Valley, Knights Valley and Alexander Valley, this wine is defined by blackberry, cassis and mocha, its mouthfeel velvety and luxurious. The finish is lengthy and accented in sage.",,90,35.0,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Arrowood 2012 Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Arrowood
US,"Simple and fruity and forward, though still unbalanced from extreme youth. It's more like a Beaujolais nouveau, with an odd, disjointed, watery finish. The price seems way out of line for what's in the bottle.",Sin Zin,82,18.0,California,Sonoma County,Sonoma,Paul Gregutt,@paulgwine ,Alexander Valley Vineyards 1999 Sin Zin Zinfandel (Sonoma County),Zinfandel,Alexander Valley Vineyards
Spain,"Starts out heavy and roasted, with herbal, earthy berry aromas settling in. Feels pruney but there's also acidity, while the flavors run herbal and peppery as prune and plum represent the fruit side. Decent but doesn't fully click.",Dominio de Heredia,84,15.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Altanza 2008 Dominio de Heredia  (Rioja),Tempranillo,Altanza
Italy,"This opens with delicate scents of red berry and fragrant blue flower. The soft, easygoing palate offers juicy wild cherry and a hint of baking spice alongside fresh acidity and round tannins. It's simple but well made.",Turris,86,30.0,Tuscany,Chianti Classico,,Kerin O’Keefe,@kerinokeefe,Luiz Barichello 2013 Turris  (Chianti Classico),Red Blend,Luiz Barichello
US,"Though just 12% alcohol, this wine is ripe and vibrant, with a thrilling bouquet of violets, cranberries and fresh herbs. Light and delicate, perfectly balanced and complex, with a whiff of chocolate in the finish.",Carter Vineyard,90,50.0,Oregon,Eola-Amity Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Ken Wright 2010 Carter Vineyard Pinot Noir (Eola-Amity Hills),Pinot Noir,Ken Wright
Spain,"Among bone-dry Cavas, this is one of the best in Spain. It's focused pastry and pear aromas lead directly onto the tangy, citric palate. The flavors of orange, grapefruit and mineral are developed and crisp, remaining firm on the finish.",Brut Nature Gran Reserva,90,30.0,Catalonia,Cava,,Michael Schachner,@wineschach,Sumarroca 2007 Brut Nature Gran Reserva Sparkling (Cava),Sparkling Blend,Sumarroca
Italy,"Aromas of underbrush, mature berry, new leather, blue flower and menthol emerge in the glass. On the firmly structured palate, an intense mineral vein of iron underscores dried black cherry, white pepper, dried sage and star anise. Austere fine-grained tannins provide the taut framework.",Molsino,91,80.0,Piedmont,Gattinara,,Kerin O’Keefe,@kerinokeefe,Nervi 2009 Molsino  (Gattinara),Nebbiolo,Nervi
New Zealand,"From the Loire Valley's Bourgeois family, this is a firmly built wine from a region known more for its open-knit accessibility. Sturdy beet and black cherry notes seem destined to last, framed by firm tannins. Drink 2015–2020.",,90,35.0,Marlborough,,,Joe Czerwinski,@JoeCz,Clos Henri 2011 Pinot Noir (Marlborough),Pinot Noir,Clos Henri
France,"This is a blend of local grapes including Jacquère and Altesse. It is a ripe style of wine that is full of pear, melon and sweet orange fruit. It is ready to drink, fruity and deliciously bright.",,86,15.0,France Other,Savoie,,Roger Voss,@vossroger,Philippe Viallet 2015 White (Savoie),White Blend,Philippe Viallet
Hungary,"Deep ruby in the glass, this wine offers aromas of cherry cola, espresso and black cherry. Black plum flavors are enhanced by a medley of spice including cinnamon, clove and nutmeg. A strong network of tannins lingers on the palate into the persistent finish. Called Kekfrankos in Hungary, this grape is more commonly known as Blaufränkisch.",,88,33.0,Villány,,,Jeff Jenssen,@worldwineguys,Sauska 2011 Kékfrankos (Villány),Kekfrankos,Sauska
Portugal,"The tannins are firm, still controlling the black fruits in this wine. It is concentrated, with considerable extraction giving a dry wine with a hard edge. The red-berry flavors are lost.",Premium,84,33.0,Douro,,,Roger Voss,@vossroger,Quinta da Padrela 2013 Premium Red (Douro),Portuguese Red,Quinta da Padrela
US,"Aromas of flowers, green herb, pear and peach lead to silky sleek stone-fruit flavors. There's some interesting things going on but the fruit doesn't quite seem to have fully ripened.",GPS Jones Vineyard,87,30.0,Washington,Wahluke Slope,Columbia Valley,Sean P. Sullivan,@wawinereport,Seven Falls 2015 GPS Jones Vineyard Viognier (Wahluke Slope),Viognier,Seven Falls
US,"From the oldest vines sourced by the producer, this reserve-tier wine delivers tart, briny apple and pear flavors with a high-toned squeeze of lemon. Aged in 30% new French oak, it balances richness with elegance and delicacy.",Reserve,90,62.0,California,Napa Valley,Napa,Virginie Boone,@vboone,White Rock Vineyards 2014 Reserve Chardonnay (Napa Valley),Chardonnay,White Rock Vineyards
US,"The winery held this Chardonnay back a year later than their far more expensive Journey bottling. Hard to say why, but the consumer is the beneficiary. That extra bit of aging has mellowed the wine, giving it a creamy, buttery richness. It has good acidity, too, that gives a lift to the ripe tropical fruits.",,92,26.0,California,Sonoma County,Sonoma,,,Matanzas Creek 2010 Chardonnay (Sonoma County),Chardonnay,Matanzas Creek
US,"Thick like a chocolaty malt, this full-bodied, robust wine is big and rich, concentrated and layered in tobacco and jam. Despite its size, it is drinkable now, with well-integrated tannins and a complete finish.",Platinum,90,70.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Sterling 2012 Platinum Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Sterling
US,"A brooding, textured Pinot Noir with some weight to it, deep in dark cherry and blackberry aromas and flavors, with a finish of roses and spice. This wine is aching to be paired with savory mushrooms.",Londer Vineyard,92,44.0,California,Anderson Valley,,Virginie Boone,@vboone,Couloir 2011 Londer Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Couloir
US,"Using grapes sourced primarily from Lodi, this Merlot is oaky and smoky, expressing an aroma of cooked black olive. It also features a subtle and toasty berry cobbler flavor, and the finish is all cedar and caramel.",,85,15.0,California,California,California Other,Virginie Boone,@vboone,Spellbound 2010 Merlot (California),Merlot,Spellbound
Spain,"With so few Mallorcan wines on the market, Anima Negra operates in a vacuum. Thankfully the winery excels with this red made from the local Callet grape. Dry, light, spicy aromas of sandalwood, tobacco and cherry come in front of a medium-bodied, creamy and oaky palate. Flavors of ripe yet spicy cherry and plum finish with notes of wood smoke and baking spices. Drink this unique wine through 2024.",Àn,92,50.0,Spanish Islands,Vi de la Terra Mallorca,,Michael Schachner,@wineschach,Ànima Negra 2011 Àn Red (Vi de la Terra Mallorca),Red Blend,Ànima Negra
US,"This is a well-made wine, supple and soft with velvety, integrated tannins and a relatively light body and sense of power. Chocolate and brown sugar play off of black cherry and cassis for a richness that never becomes cloying.",Walking Tree,90,30.0,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Geyser Peak 2012 Walking Tree Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Geyser Peak
Italy,"This vineyard-designate sparkler shows enormous softness and creaminess, with plush aromas of peach, sweet grapefruit and sweet almond flower.",Millesimato Rive di Farra di Soligo Extra Dry,87,-17.0,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,,,La Farra 2011 Millesimato Rive di Farra di Soligo Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore),Glera,La Farra
Austria,"This is a Zweigelt with an identity crisis that thinks it may be Pinot Noir. It's elegant and silky, with a gentle tannic touch, refreshing acidity and restrained but evocative redcurrant and cranberry fruit. Overtones of peony and iris make this more intriguing, while there is substance despite its light body. This is delicious now, but will reward cellaring for one to two years to let earthy, tertiary flavors develop. Drink from 2014.",Haide,92,36.0,Niederösterreich,,,Anne Krebiehl MW,@AnneInVino,Schloss Gobelsburg 2011 Haide Zweigelt (Niederösterreich),Zweigelt,Schloss Gobelsburg
US,"This is Riesling done in a forward and fruity style, showing a mix of peach, apple and pear flavors. Broad and accessible, it finishes with a sweet dusting of powdered sugar.",Fahrenheit 100,87,20.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Thomas O'Neil Cellars 2010 Fahrenheit 100 Riesling (Columbia Valley (WA)),Riesling,Thomas O'Neil Cellars
Spain,"This winery makes one of the better, more consistent white Txakolis, but this rosé is fruitless and smells of grass and green beans. A spritzy palate similarly tastes of beans and bell pepper, and the finish maintains that vegetal character.",Getaria,81,22.0,Northern Spain,Getariako Txakolina,,Michael Schachner,@wineschach,Txomín Etxaníz 2015 Getaria Rosé (Getariako Txakolina),Rosé,Txomín Etxaníz
France,"An elegant expression of Tannat, with plum skin spice and a delicious juiciness showing well. The acidity, the wood and a smoky flavor add complexity. Age this balanced wine for another 2–3 years.",Ode d'Aydie,90,25.0,Southwest France,Madiran,,Roger Voss,@vossroger,Château d'Aydie 2008 Ode d'Aydie Tannat (Madiran),Tannat,Château d'Aydie
France,"Dry and crisp, this is a delicious rosé that has both ripe fruit and a tight line of acidity. Its red fruits are laced with fresh citrus character and an underlying touch of toast. This is a bottling that can improve with age, but is great now.",Rose Label Brut Rosé,90,65.0,Champagne,Champagne,,Roger Voss,@vossroger,Lanson NV Rose Label Brut Rosé  (Champagne),Champagne Blend,Lanson
US,"A smoky oak fire meets cooked meats and plum sauce on the nose of this wine, which retains great balance even at 16% alcohol. The mouthfeel is luxurious, complementing the cherry, red currant, licorice and black pepper flavors, wrapped around orange peel bitterness and well-integrated oak.",,92,35.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Summerwood 2011 Zinfandel (Paso Robles),Zinfandel,Summerwood
US,"Rich, soft and chocolaty, this Merlot has fruity flavors of cherries, blackberries, mulberries and blackstrap molasses. It's dry, and at its best now.",,86,35.0,California,Napa Valley,Napa,,,Emmolo 2006 Merlot (Napa Valley),Merlot,Emmolo
US,"This lightly built wine is fully expressive, with floral aromas and bright layers of black cherry, peppery clove and toasted oak. Balanced and unhindered, it will work well at the table.",Winemaker's Reserve Estate,90,98.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Viszlay Vineyards 2013 Winemaker's Reserve Estate Cabernet Sauvignon (Russian River Valley),Cabernet Sauvignon,Viszlay Vineyards
Italy,"Enticing Granny Smith apple and fragrant white flower scents take center stage in this delightful white. The apple impressioin carries over to the vibrant palate, along with Bartlett pear notes and bright acidity. It finishes crisp and clean.",,89,,Northeastern Italy,Alto Adige,,Kerin O’Keefe,@kerinokeefe,Kettmeir 2016 Pinot Bianco (Alto Adige),Pinot Bianco,Kettmeir
New Zealand,"A lightweight wine seemingly made for poolside sipping, with herbal-grassy tones accenting citrus notes. It's clean on the finish and as refreshing as a cool breeze.",,85,10.0,Marlborough,,,Joe Czerwinski,@JoeCz,Zeal 2011 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Zeal
US,"Shows the bright acidity and pure fruit of the Santa Rita Hills, with lots of cherry pulp and bitter skin, red licorice and raspberry flavors. It's also moderate in alcohol. There's a troubling note of unripeness that may limit ageability, so drink up.",,88,44.0,California,Sta. Rita Hills,Central Coast,,,Dragonette 2011 Pinot Noir (Sta. Rita Hills),Pinot Noir,Dragonette
France,"This is a soft, ripe and fruity wine. It has gentle tannins and attractive red-berry fruits. There is just a touch of dryness that gives this easygoing wine its structure. Drink from early 2017.",,85,13.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Château Lanscade 2015  Bordeaux,Bordeaux-style Red Blend,Château Lanscade
Spain,"Mellow peach and nectarine aromas come with a dusting of talcum powder. On the palate, this is citric and lemony, while a jumble of orange and stone-fruit flavors finish clean and crisp. Overall this is fine but undistinguished.",Viña Real,86,17.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,CVNE 2014 Viña Real Rosado (Rioja),Rosado,CVNE
US,"Defines a Dry Creek Valley style of Zinfandel, with high alcohol, a heady full-bodiedness, and massive flavors of wild berries, currants, raisins, spices and earthy elements. Drink it over the next 3–4 years, before the fruit starts to turn.",Big River Ranch,89,40.0,California,Alexander Valley,Sonoma,,,Bella 2010 Big River Ranch Zinfandel (Alexander Valley),Zinfandel,Bella
Italy,"This is a gorgeous Brunello with thick and succulent aromas of black fruit, spice, cedar wood, leather and pipe tobacco. It offers a lot of in terms of complexity and intensity but is never overdone or exaggerated. In the mouth, it fills the palate with beautifully bright cherry flavors.",,93,175.0,Tuscany,Brunello di Montalcino,,,,La Cerbaiola 2005  Brunello di Montalcino,Sangiovese Grosso,La Cerbaiola
Chile,"Piercing sour raspberry aromas introduce an edgy, scratchy feeling wine with a combo of minty, herbal pie cherry and red plum flavors. This dries out and finishes modestly, but always with true Pinot Noir character.",Coast Cool Climate,86,17.0,Casablanca Valley,,,Michael Schachner,@wineschach,Lomas del Valle 2012 Coast Cool Climate Pinot Noir (Casablanca Valley),Pinot Noir,Lomas del Valle
US,"Blackberry, black cherry and blueberry aromas are cut by complex hints of dark chocolate and nutmeg on this Cabernet Franc and Merlot blend. The tannins are quite firm on the palate, framing black plums, vanilla, caramel, dill and dried mint flavors. Drinking 2018–2030 will allow more black cherry and blueberry character to evolve on the sip.",Justification,93,55.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Justin 2012 Justification Red (Paso Robles),Bordeaux-style Red Blend,Justin
France,"Raspberry fruits and juicy acidity are allied to a softly tannic structure to give a ripe while fresh wine. It's fruity but with a firm, dry core that gives the potential to age 2016–2017.",Domaine des Emois,86,30.0,Loire Valley,Sancerre,,Roger Voss,@vossroger,Joseph Mellot 2012 Domaine des Emois  (Sancerre),Pinot Noir,Joseph Mellot
Argentina,"Smells like crushed vitamins, iron and minerals, but no fruit. Weak, funky and sour tasting, and then angular on the finish. There's even some sauerkraut in the mix. Not what we're looking for.",Finca La Martina,80,13.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Reyter 2009 Finca La Martina Chardonnay (Mendoza),Chardonnay,Reyter
France,"Dense and complex wine, packed with the ripest fruit. It has powerful tannins, although they are easily balanced by the rich plum and damson flavors. The wine is solid, chunky, based on a dry and firm core, ready for aging over 4 years.",,91,33.0,Southwest France,Cahors,,Roger Voss,@vossroger,Château du Cèdre 2008 Malbec (Cahors),Malbec,Château du Cèdre
US,"This is a savory, almost briny, cool-climate white that's unusual for the appellation in some ways—it's crisp and bright in Meyer lemon and jasmine. Still, for all its elegance, it offers just as much in the way of creamy texture amid a midpalate of fresh-cut apple, peaking in a lightly buttered note on the finale.",Dutton Ranch,92,36.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Anaba 2012 Dutton Ranch Chardonnay (Russian River Valley),Chardonnay,Anaba
Italy,"Cut grass, citrus, gooseberry and tomato vine aromas lead the way. The crisp palate delivers grapefruit, white peach, kiwi and mineral with just a hint of green bell pepper. Racy acidity provides the framework.",Gfill,88,22.0,Northeastern Italy,Alto Adige,,Kerin O’Keefe,@kerinokeefe,St. Pauls 2014 Gfill Sauvignon (Alto Adige),Sauvignon,St. Pauls
US,"Certainly among the most unusual wines from this vineyard, here is a Pinot Gris with 30 g/L residual sugar and alcohol under 11%. There is sufficient acidity—along with the minerality that the vineyard is known for—to keep the flavors of citrus rind and flesh well rounded and buoyant. Sweet enough to pair with a fruity dessert.",Ciel du Cheval Vineyard Drizzle,90,19.0,Washington,Red Mountain,Columbia Valley,Paul Gregutt,@paulgwine ,Convergence Zone 2012 Ciel du Cheval Vineyard Drizzle Pinot Gris (Red Mountain),Pinot Gris,Convergence Zone
US,"Savory sandalwood, leather and black fruit are surrounded by a strong, persistent grip of solid tannin in this spicy, cola-layered wine.",Lennox,88,54.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,R2 2014 Lennox Pinot Noir (Russian River Valley),Pinot Noir,R2
New Zealand,"A rare Marlborough Merlot, this is a superficially charming wine that shows cassis fruit and lashings of smoky, cedary oak. It does lack a bit of richness, particularly on the finish, but it scores for its upfront display of ripe fruit and toasty oak.",Rapaura Reserve,87,30.0,Marlborough,,,Joe Czerwinski,@JoeCz,Saint Clair 2010 Rapaura Reserve Merlot (Marlborough),Merlot,Saint Clair
